"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"16.07.2019","5,7036","5,7115","5,7242","5,6970","-0,14%"
"15.07.2019","5,7114","5,7288","5,7319","5,6969","-0,31%"
"14.07.2019","5,7289","5,7199","5,7333","5,7198","0,16%"
"12.07.2019","5,7200","5,6831","5,7883","5,6604","0,82%"
"11.07.2019","5,6734","5,6762","5,6935","5,6456","-0,01%"
"10.07.2019","5,6741","5,7294","5,7599","5,6658","-1,01%"
"09.07.2019","5,7322","5,7392","5,7485","5,6765","-0,08%"
"08.07.2019","5,7367","5,6295","5,7940","5,6294","-0,11%"
"07.07.2019","5,7432","5,6295","5,7940","5,6294","2,03%"
"05.07.2019","5,6288","5,5952","5,6452","5,5805","0,60%"
"04.07.2019","5,5953","5,6243","5,6272","5,5725","-0,53%"
"03.07.2019","5,6249","5,6631","5,6723","5,6002","-0,49%"
"02.07.2019","5,6528","5,6534","5,7037","5,6193","0,04%"
"01.07.2019","5,6507","5,7986","5,7986","5,6196","-1,56%"
"30.06.2019","5,7401","5,7920","5,7920","5,7305","-0,90%"
"28.06.2019","5,7921","5,7761","5,8029","5,7388","0,34%"
"27.06.2019","5,7725","5,7770","5,7949","5,7517","-0,04%"
"26.06.2019","5,7749","5,7930","5,8187","5,7440","-0,35%"
"25.06.2019","5,7949","5,8089","5,8303","5,7450","-0,24%"
"24.06.2019","5,8090","5,8213","5,8302","5,6975","0,78%"
"23.06.2019","5,7642","5,8213","5,8214","5,7319","-0,98%"
"21.06.2019","5,8214","5,7609","5,8384","5,7459","0,99%"
"20.06.2019","5,7644","5,7946","5,8293","5,7223","-0,47%"
"19.06.2019","5,7914","5,8350","5,9234","5,7876","-0,63%"
"18.06.2019","5,8284","5,8746","5,8835","5,8126","-0,76%"
"17.06.2019","5,8733","5,9026","5,9306","5,8476","-0,74%"
"16.06.2019","5,9170","5,9016","5,9277","5,8990","0,26%"
"14.06.2019","5,9015","5,8647","5,9329","5,8450","0,57%"
"13.06.2019","5,8682","5,8094","5,9055","5,8041","1,04%"
"12.06.2019","5,8080","5,7967","5,8290","5,7570","0,18%"
"11.06.2019","5,7976","5,7807","5,8423","5,7455","0,40%"
"10.06.2019","5,7747","5,8324","5,8592","5,7510","-1,17%"
"09.06.2019","5,8428","5,8307","5,8435","5,8302","0,20%"
"07.06.2019","5,8310","5,7768","5,8690","5,7720","0,88%"
"06.06.2019","5,7801","5,7303","5,8088","5,7139","0,86%"
"05.06.2019","5,7310","5,7827","5,7882","5,6641","-0,89%"
"04.06.2019","5,7824","5,8380","5,8685","5,7520","-0,88%"
"03.06.2019","5,8339","5,8435","5,8968","5,8196","-0,43%"
"02.06.2019","5,8593","5,8405","5,8681","5,8399","0,36%"
"31.05.2019","5,8382","5,8793","5,9225","5,8090","-0,66%"
"30.05.2019","5,8772","6,0098","6,0283","5,8496","-2,24%"
"29.05.2019","6,0121","6,0304","6,0579","5,9901","-0,33%"
"28.05.2019","6,0319","6,0646","6,0850","5,9811","-0,51%"
"27.05.2019","6,0629","6,0903","6,1070","6,0270","-0,27%"
"26.05.2019","6,0794","6,0844","6,1082","6,0746","-0,05%"
"24.05.2019","6,0825","6,0963","6,1290","6,0370","-0,23%"
"23.05.2019","6,0964","6,0956","6,1520","6,0845","-0,06%"
"22.05.2019","6,1002","6,0606","6,1300","6,0518","0,79%"
"21.05.2019","6,0525","6,0287","6,0820","6,0060","0,42%"
"20.05.2019","6,0272","6,0631","6,0881","5,9983","-0,57%"
"19.05.2019","6,0617","6,0555","6,0632","6,0511","0,11%"
"17.05.2019","6,0550","6,0425","6,0953","6,0180","0,15%"
"16.05.2019","6,0457","6,0042","6,0553","5,9893","0,75%"
"15.05.2019","6,0007","6,0335","6,0891","5,9898","-0,50%"
"14.05.2019","6,0306","6,0607","6,1162","5,9787","-0,48%"
"13.05.2019","6,0594","6,0064","6,1346","5,9572","1,10%"
"12.05.2019","5,9936","5,9851","6,0066","5,9771","0,14%"
"10.05.2019","5,9851","6,1988","6,2126","5,9600","-3,35%"
"09.05.2019","6,1926","6,1810","6,2465","6,1509","0,11%"
"08.05.2019","6,1860","6,1484","6,1997","6,1375","0,57%"
"07.05.2019","6,1511","6,0780","6,1979","6,0714","1,16%"
"06.05.2019","6,0803","5,9664","6,1496","5,9663","1,59%"
"05.05.2019","5,9851","5,9644","5,9959","5,9640","0,34%"
"03.05.2019","5,9648","5,9736","5,9932","5,9577","0,01%"
"02.05.2019","5,9645","5,9671","5,9829","5,9425","-0,03%"
"01.05.2019","5,9665","5,9675","5,9699","5,9351","0,02%"
"30.04.2019","5,9656","5,9488","5,9875","5,9259","0,29%"
"29.04.2019","5,9483","5,9343","5,9629","5,9130","0,03%"
"28.04.2019","5,9462","5,9377","5,9472","5,9318","0,14%"
"26.04.2019","5,9382","5,9276","5,9696","5,9070","0,19%"
"25.04.2019","5,9268","5,8750","5,9811","5,8624","0,88%"
"24.04.2019","5,8753","5,8297","5,8954","5,8224","0,80%"
"23.04.2019","5,8287","5,8273","5,8534","5,8075","0,03%"
"22.04.2019","5,8272","5,8112","5,8570","5,8040","0,01%"
"21.04.2019","5,8264","5,8113","5,8337","5,8089","0,26%"
"19.04.2019","5,8112","5,8001","5,8352","5,7685","0,16%"
"18.04.2019","5,8018","5,7451","5,8543","5,7409","1,10%"
"17.04.2019","5,7387","5,7709","5,7966","5,6920","-0,55%"
"16.04.2019","5,7703","5,8073","5,8323","5,7382","-0,58%"
"15.04.2019","5,8041","5,7676","5,8243","5,7613","0,32%"
"14.04.2019","5,7856","5,7693","5,7891","5,7602","0,28%"
"12.04.2019","5,7693","5,7363","5,8235","5,7000","0,53%"
"11.04.2019","5,7388","5,6829","5,7600","5,6626","1,00%"
"10.04.2019","5,6818","5,6916","5,7207","5,6565","-0,22%"
"09.04.2019","5,6943","5,6897","5,7062","5,6307","0,07%"
"08.04.2019","5,6903","5,6261","5,7290","5,6111","0,91%"
"07.04.2019","5,6390","5,6261","5,6409","5,6261","0,23%"
"05.04.2019","5,6262","5,5890","5,6505","5,5505","0,60%"
"04.04.2019","5,5925","5,6265","5,6645","5,5414","-0,60%"
"03.04.2019","5,6260","5,6069","5,6566","5,5634","0,37%"
"02.04.2019","5,6050","5,4865","5,6792","5,4755","2,16%"
"01.04.2019","5,4863","5,5565","5,7040","5,4085","-1,89%"
"31.03.2019","5,5919","5,5861","5,5956","5,5795","0,66%"
"29.03.2019","5,5555","5,5726","5,6822","5,5535","-0,10%"
"28.03.2019","5,5610","5,3462","5,6275","5,3452","4,38%"
"27.03.2019","5,3278","5,3374","5,4654","5,2690","-0,00%"
"26.03.2019","5,3279","5,5469","5,5936","5,2992","-4,01%"
"25.03.2019","5,5503","5,7631","5,7726","5,5412","-2,51%"
"24.03.2019","5,6930","5,7630","5,7726","5,6238","-1,21%"
"22.03.2019","5,7627","5,4654","5,8450","5,4470","5,44%"
"21.03.2019","5,4652","5,4245","5,4813","5,4205","0,82%"
"20.03.2019","5,4208","5,4760","5,4859","5,4082","-1,02%"
"19.03.2019","5,4764","5,4669","5,4884","5,4515","0,15%"
"18.03.2019","5,4683","5,4480","5,4748","5,4427","0,35%"
"17.03.2019","5,4490","5,4466","5,4517","5,4461","0,04%"
"15.03.2019","5,4467","5,4656","5,4768","5,4398","-0,37%"
"14.03.2019","5,4671","5,4573","5,4771","5,4538","0,20%"
"13.03.2019","5,4564","5,4563","5,4812","5,4450","-0,01%"
"12.03.2019","5,4572","5,4442","5,4672","5,4215","0,21%"
"11.03.2019","5,4455","5,4270","5,4616","5,4210","0,22%"
"10.03.2019","5,4338","5,4394","5,4471","5,4275","0,06%"
"08.03.2019","5,4303","5,4741","5,4917","5,4200","-0,75%"
"07.03.2019","5,4712","5,4267","5,4810","5,4170","0,78%"
"06.03.2019","5,4288","5,3868","5,4474","5,3585","0,78%"
